Name,Rating,UT_Fruit-No_rating,Esters-No_rating,_Dried_Fruit-No_rating,Brown spices No_rating,UT_Vanilla-No_rating,UT_Wood-No_rating,New_Wood-No_rating,Aged_Wood-No_rating,UT_Smoky-No_rating,UT_Rubber-No_rating,UT_Sugars-_No_rating,Caramel_rating,Brown_Sugar-No_rating,UT Floral No_rating,UT__Green_rating,Hay/Tea-No_rating,UT_Dry_Fragant-_Pa_rating,Sweet_rating,Bitter_rating,Sour_rating,Alcoholic_strength_rating,Viscous_rating,Cluster
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,2,0.162498962,0,0.10866495,0,0,0.16665282,0,0.165822049,0.255046939,0.231286866,0.052,0,0.0464,0,0.0123,0,0,0.190246739,0.245908449,0.0171,0.271330066,0.0748,3
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,4,0.324997923,0,0.217329899,0,0,0.333305641,0,0.331644097,0.510093877,0.462573731,0.104012628,0,0.0927,0,0.0246,0,0,0.380493478,0.491816898,0.0342,0.542660131,0.149538922,3
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,1,0.0812,0,0.0543,0,0,0.0833,0,0.0829,0.127523469,0.115643433,0.026,0,0.0232,0,0.00615,0,0,0.0951,0.122954224,0.00856,0.135665033,0.0374,3
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,4,0.324997923,0,0.217329899,0,0,0.333305641,0,0.331644097,0.510093877,0.462573731,0.104012628,0,0.0927,0,0.0246,0,0,0.380493478,0.491816898,0.0342,0.542660131,0.149538922,3
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,3,0.243748442,0,0.162997425,0,0,0.249979231,0,0.248733073,0.382570408,0.346930298,0.078,0,0.0695,0,0.0184,0,0,0.285370109,0.368862673,0.0257,0.406995098,0.112154191,3
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,2,0.162498962,0,0.10866495,0,0,0.16665282,0,0.165822049,0.255046939,0.231286866,0.052,0,0.0464,0,0.0123,0,0,0.190246739,0.245908449,0.0171,0.271330066,0.0748,3
201,6,0.487496885,0,0.325994849,0,0,0.499958461,0,0.497466146,0.765140816,0.693860597,0.156018942,0,0.139071197,0,0.0369,0,0,0.570740218,0.737725347,0.0513,0.813990197,0.224308383,3
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,9,0.731245327,0,0.488992274,0,0,0.749937692,0,0.746199219,1.147711224,1.040790895,0.234028412,0,0.208606796,0,0.0553,0,0,0.856110326,1.10658802,0.077,1.220985295,0.336462574,1
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,5,0.406247404,0,0.271662374,0,0,0.416632051,0,0.414555122,0.637617347,0.578217164,0.130015785,0,0.115892664,0,0.0307,0,0,0.475616848,0.614771122,0.0428,0.678325164,0.186923652,3
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
201,2,0.162498962,0,0.10866495,0,0,0.16665282,0,0.165822049,0.255046939,0.231286866,0.052,0,0.0464,0,0.0123,0,0,0.190246739,0.245908449,0.0171,0.271330066,0.0748,3
201,8,0.649995846,0,0.434659799,0,0,0.666611282,0,0.663288195,1.020187755,0.925147462,0.208025255,0,0.185428263,0,0.0492,0,0,0.760986957,0.983633796,0.0685,1.085320263,0.299077843,1
201,7,0.568746365,0,0.380327324,0,0,0.583284872,0,0.58037717,0.892664285,0.809504029,0.182022098,0,0.16224973,0,0.043,0,0,0.665863587,0.860679571,0.0599,0.94965523,0.261693113,1
